equipementId;ressourceId;consommationId
1;1;29
2;1;48
3;1;36
4;1;1
5;1;24
6;1;38
7;1;6
8;1;41
9;1;34
10;1;47
11;1;39
12;1;25
13;1;23
14;1;38
15;1;6
16;1;16
17;1;27
18;1;47
19;1;4
20;1;16
21;1;17
22;1;36
23;1;18
24;1;35
25;1;26
26;1;23
27;1;41
28;1;4
29;1;34
30;1;27
31;1;40
32;1;22
33;1;33
34;1;28
35;1;48
36;1;37
37;1;33
38;1;12
39;1;48
40;1;13
41;1;11
42;1;3
43;1;50
44;1;42
45;1;35
46;1;8
47;1;8
48;1;30
49;1;3
50;1;36
51;1;15
52;1;31
53;1;37
54;1;38
55;1;3
50;3;42
51;3;26
52;3;27
53;3;9
54;3;43
55;3;1
56;1;46
57;1;12
58;1;15
59;1;23
60;1;26
61;1;6
62;1;15
63;1;50
64;4;42
65;4;35
66;2;36
67;2;11
68;2;8
69;2;3
70;2;27
71;2;20
72;2;33
73;2;32
74;2;15
75;2;28
66;1;2
67;1;2
68;1;2
69;1;4
70;1;2
71;1;2
72;1;4
73;1;5
74;1;5
75;1;4
76;1;4
77;1;33
78;1;7
79;1;45
80;1;40
81;1;42
82;1;24
83;1;30
84;1;41
85;1;17
86;4;29
87;4;27
88;4;22
89;4;40
90;1;42
91;1;50
92;1;6
93;1;9
94;1;34
95;1;16
96;1;35
97;1;16
98;2;42
99;2;44
100;2;25
