equipementId;fonctionnementDebut;fonctionnementFin
11;2022-01-16 11:48:52;2022-01-16 13:32:14
74;2022-01-11 12:13:59;2022-01-11 13:30:39
64;2022-04-25 20:32:59;2022-04-25 21:26:55
86;2022-01-19 19:26:39;2022-01-19 21:23:41
62;2022-03-24 11:36:38;2022-03-24 13:19:13
26;2022-09-16 13:37:52;2022-09-16 14:25:57
43;2022-04-20 14:48:33;2022-04-20 17:25:10
37;2022-05-15 12:34:27;2022-05-15 13:36:43
20;2022-05-10 11:44:34;2022-05-10 12:59:47
5;2022-04-17 14:11:56;2022-04-17 17:24:55
61;2022-09-18 17:47:39;2022-09-18 19:24:54
8;2022-09-22 18:34:39;2022-09-22 21:50:20
17;2022-06-25 19:36:30;2022-06-25 20:23:57
65;2022-09-17 11:57:49;2022-09-17 13:16:55
2;2022-05-15 10:17:48;2022-05-15 11:11:22
37;2022-01-20 16:14:17;2022-01-20 17:24:53
20;2022-05-28 11:58:53;2022-05-28 13:22:49
38;2022-09-11 14:41:58;2022-09-11 16:27:19
51;2022-03-24 11:31:49;2022-03-24 14:47:16
70;2022-07-10 19:43:53;2022-07-10 22:21:48
65;2022-06-13 11:17:29;2022-06-13 13:32:49
90;2022-02-27 10:33:16;2022-02-27 12:53:44
50;2022-06-20 10:31:54;2022-06-20 13:47:23
94;2022-08-24 14:13:37;2022-08-24 15:30:39
69;2022-07-12 12:13:50;2022-07-12 15:21:11
90;2022-04-11 16:12:36;2022-04-11 17:40:32
42;2022-05-19 18:17:25;2022-05-19 19:32:51
75;2022-02-19 15:14:42;2022-02-19 17:34:47
14;2022-08-11 13:31:31;2022-08-11 15:41:23
98;2022-08-24 13:56:27;2022-08-24 15:46:47
16;2022-05-23 11:19:42;2022-05-23 12:49:37
99;2022-06-17 18:56:52;2022-06-17 21:21:54
88;2022-09-13 14:13:42;2022-09-13 17:16:58
75;2022-04-19 12:33:24;2022-04-19 15:24:37
22;2022-07-24 10:43:31;2022-07-24 11:13:13
72;2022-08-20 18:45:54;2022-08-20 20:17:10
9;2022-06-22 18:18:57;2022-06-22 21:38:11
96;2022-01-18 16:43:56;2022-01-18 18:36:47
16;2022-04-11 18:52:43;2022-04-11 21:31:40
45;2022-02-20 20:27:12;2022-02-20 21:36:29
72;2022-05-17 20:52:14;2022-05-17 22:51:46
6;2022-09-21 15:51:52;2022-09-21 17:17:21
19;2022-02-12 15:45:54;2022-02-12 16:18:52
97;2022-07-26 13:47:39;2022-07-26 16:54:47
61;2022-03-11 10:42:18;2022-03-11 11:12:12
20;2022-04-16 18:31:36;2022-04-16 21:45:20
17;2022-03-12 20:59:20;2022-03-12 21:24:24
18;2022-04-13 12:18:40;2022-04-13 13:23:45
38;2022-04-26 18:32:58;2022-04-26 21:29:43
91;2022-08-16 16:16:36;2022-08-16 19:44:45
24;2022-05-13 10:40:23;2022-05-13 13:22:58
64;2022-09-27 10:17:40;2022-09-27 12:26:47
41;2022-06-21 19:43:46;2022-06-21 22:25:55
68;2022-09-18 20:43:35;2022-09-18 22:49:24
97;2022-01-14 12:55:26;2022-01-14 14:48:31
5;2022-09-21 20:44:23;2022-09-21 23:26:38
51;2022-04-19 18:12:30;2022-04-19 20:44:25
45;2022-09-24 13:26:24;2022-09-24 16:27:58
69;2022-06-21 11:22:44;2022-06-21 13:14:58
52;2022-09-11 14:31:38;2022-09-11 15:12:55
26;2022-06-16 13:31:57;2022-06-16 15:14:59
63;2022-09-17 13:22:56;2022-09-17 16:13:57
81;2022-04-10 20:30:54;2022-04-10 21:46:30
57;2022-09-16 16:30:57;2022-09-16 18:13:10
38;2022-03-10 15:35:38;2022-03-10 18:36:22
48;2022-04-20 10:31:17;2022-04-20 11:37:54
93;2022-08-10 15:38:24;2022-08-10 17:32:16
44;2022-09-14 14:29:53;2022-09-14 17:52:11
21;2022-04-28 11:23:21;2022-04-28 13:27:44
100;2022-04-22 17:38:42;2022-04-22 18:52:56
51;2022-06-26 19:36:24;2022-06-26 20:55:10
45;2022-05-15 16:23:39;2022-05-15 18:34:31
67;2022-03-12 20:20:39;2022-03-12 22:53:53
24;2022-05-16 11:26:32;2022-05-16 14:55:34
54;2022-03-16 14:19:57;2022-03-16 16:37:30
3;2022-01-19 19:20:14;2022-01-19 22:28:30
24;2022-04-22 14:45:56;2022-04-22 15:25:32
31;2022-01-13 18:51:59;2022-01-13 19:56:30
24;2022-07-13 18:50:53;2022-07-13 20:24:44
45;2022-02-13 14:47:45;2022-02-13 17:39:16
91;2022-02-22 15:23:38;2022-02-22 18:30:45
22;2022-03-26 17:30:50;2022-03-26 20:16:17
93;2022-08-22 20:43:52;2022-08-22 22:10:42
75;2022-07-12 12:16:18;2022-07-12 13:26:49
65;2022-03-28 10:33:13;2022-03-28 11:14:27
84;2022-01-19 14:19:25;2022-01-19 15:21:13
23;2022-09-14 16:24:10;2022-09-14 17:36:24
59;2022-03-26 10:59:17;2022-03-26 13:13:25
86;2022-04-17 20:25:10;2022-04-17 23:26:46
21;2022-06-28 15:30:33;2022-06-28 18:50:30
40;2022-08-18 14:31:31;2022-08-18 17:33:28
66;2022-01-14 15:13:23;2022-01-14 16:49:44
93;2022-09-22 19:20:55;2022-09-22 21:41:40
72;2022-07-26 19:15:44;2022-07-26 22:56:56
93;2022-05-28 16:15:44;2022-05-28 18:16:43
86;2022-03-20 13:13:46;2022-03-20 14:35:27
88;2022-05-10 17:57:16;2022-05-10 19:54:46
74;2022-06-10 15:24:29;2022-06-10 17:16:35
50;2022-05-16 15:42:59;2022-05-16 18:52:41
54;2022-03-22 13:18:29;2022-03-22 14:42:33
